level,run,original_mean,boot_mean,ci_level,ci_lower,ci_upper,instrument,nominal
data_SRP_45,1,46.5361111111111,46.5340355555556,0.95,46.1805555555556,46.8333333333333,SRP,45
data_SRP_45,2,46.5361111111111,46.5372213888889,0.95,46.175,46.8305555555556,SRP,45
data_SRP_45,3,46.5361111111111,46.5353222222222,0.95,46.175,46.8361111111111,SRP,45
data_SRP_45,4,46.5361111111111,46.5372166666667,0.95,46.1777777777778,46.8333333333333,SRP,45
data_SRP_45,5,46.5361111111111,46.5373047222222,0.95,46.1861111111111,46.8277777777778,SRP,45
data_SRP_45,6,46.5361111111111,46.5391238888889,0.95,46.175,46.8277777777778,SRP,45
data_SRP_45,7,46.5361111111111,46.5358255555556,0.95,46.1708123994583,46.8253752533331,SRP,45
data_SRP_45,8,46.5361111111111,46.5370219444444,0.95,46.1805555555556,46.8194444444444,SRP,45
data_SRP_45,9,46.5361111111111,46.5406880555556,0.95,46.1722222222222,46.8194444444444,SRP,45
data_SRP_45,10,46.5361111111111,46.5366761111111,0.95,46.1861111111111,46.8277777777778,SRP,45
data_SRP_45,11,46.5361111111111,46.5341091666667,0.95,46.1861111111111,46.8277777777778,SRP,45
data_SRP_45,12,46.5361111111111,46.5382597222222,0.95,46.175,46.8194444444444,SRP,45
data_SRP_45,13,46.5361111111111,46.5355216666667,0.95,46.1833333333333,46.8416666666667,SRP,45
data_SRP_45,14,46.5361111111111,46.5351822222222,0.95,46.1972222222222,46.825,SRP,45
data_SRP_45,15,46.5361111111111,46.5345652777778,0.95,46.1805555555556,46.825,SRP,45
data_SRP_45,16,46.5361111111111,46.5372333333333,0.95,46.1888888888889,46.8251052234677,SRP,45
data_SRP_45,17,46.5361111111111,46.5372827777778,0.95,46.1805555555556,46.8277777777778,SRP,45
data_SRP_45,18,46.5361111111111,46.5356230555556,0.95,46.1848272643679,46.8277777777778,SRP,45
data_SRP_45,19,46.5361111111111,46.5367902777778,0.95,46.175,46.825,SRP,45
data_SRP_45,20,46.5361111111111,46.5321375,0.95,46.1944444444444,46.8361111111111,SRP,45
data_SRP_45,21,46.5361111111111,46.5330852777778,0.95,46.1848350925663,46.8277777777778,SRP,45
data_SRP_45,22,46.5361111111111,46.538975,0.95,46.1666666666667,46.825,SRP,45
data_SRP_45,23,46.5361111111111,46.5349275,0.95,46.1962711235304,46.8277777777778,SRP,45
data_SRP_45,24,46.5361111111111,46.5371486111111,0.95,46.175,46.8222222222222,SRP,45
data_SRP_45,25,46.5361111111111,46.5358258333333,0.95,46.175,46.8305555555556,SRP,45
data_SRP_45,26,46.5361111111111,46.5366788888889,0.95,46.172749559146,46.8166666666667,SRP,45
data_SRP_45,27,46.5361111111111,46.5355341666667,0.95,46.1805555555556,46.8295728345715,SRP,45
data_SRP_45,28,46.5361111111111,46.5365111111111,0.95,46.175,46.8222222222222,SRP,45
