source_file,level,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10
bootstrap_means_data_SRP_0_run_23.csv,0,-0.075,-0.0861111111111111,-0.0527777777777778,-0.0777777777777778,-0.075,-0.0666666666666667,-0.0583333333333333,-0.0416666666666667,-0.0666666666666667,-0.0916666666666667
bootstrap_means_data_SRP_0_run_24.csv,0,-0.0805555555555556,-0.0611111111111111,-0.075,-0.0555555555555556,-0.0555555555555556,-0.0888888888888889,-0.0888888888888889,-0.075,-0.0416666666666667,-0.0527777777777778
bootstrap_means_data_SRP_0_run_25.csv,0,-0.05,-0.0722222222222222,-0.0388888888888889,-0.0555555555555556,-0.075,-0.0666666666666667,-0.0888888888888889,-0.0916666666666667,-0.0916666666666667,-0.122222222222222
bootstrap_means_data_SRP_0_run_26.csv,0,-0.0861111111111111,-0.075,-0.0777777777777778,-0.113888888888889,-0.0805555555555556,-0.0888888888888889,-0.0638888888888889,-0.0972222222222222,-0.075,-0.0916666666666667
bootstrap_means_data_SRP_0_run_27.csv,0,-0.0694444444444444,-0.0777777777777778,-0.0638888888888889,-0.0611111111111111,-0.0611111111111111,-0.075,-0.1,-0.0638888888888889,-0.0583333333333333,-0.0722222222222222
bootstrap_means_data_SRP_0_run_28.csv,0,-0.0916666666666667,-0.0472222222222222,-0.0694444444444444,-0.0777777777777778,-0.0694444444444444,-0.0527777777777778,-0.075,-0.0888888888888889,-0.0722222222222222,-0.075
bootstrap_means_data_SRP_0_run_29.csv,0,-0.0694444444444444,-0.0861111111111111,-0.113888888888889,-0.0638888888888889,-0.0805555555555556,-0.0472222222222222,-0.0888888888888889,-0.108333333333333,-0.0416666666666667,-0.0777777777777778
bootstrap_means_data_SRP_0_run_3.csv,0,-0.0638888888888889,-0.0638888888888889,-0.0777777777777778,-0.0527777777777778,-0.0722222222222222,-0.0722222222222222,-0.105555555555556,-0.0888888888888889,-0.075,-0.0805555555555556
bootstrap_means_data_SRP_0_run_30.csv,0,-0.0472222222222222,-0.0722222222222222,-0.0916666666666667,-0.0638888888888889,-0.0638888888888889,-0.0777777777777778,-0.0777777777777778,-0.075,-0.0916666666666667,-0.0527777777777778
bootstrap_means_data_SRP_0_run_4.csv,0,-0.0888888888888889,-0.0527777777777778,-0.0694444444444444,-0.0611111111111111,-0.0555555555555556,-0.075,-0.0888888888888889,-0.0805555555555556,-0.0777777777777778,-0.05
bootstrap_means_data_SRP_0_run_5.csv,0,-0.1,-0.0694444444444444,-0.0666666666666667,-0.0888888888888889,-0.0583333333333333,-0.075,-0.0833333333333333,-0.0861111111111111,-0.0527777777777778,-0.0861111111111111
bootstrap_means_data_SRP_0_run_6.csv,0,-0.0583333333333333,-0.0805555555555556,-0.0722222222222222,-0.0805555555555556,-0.0861111111111111,-0.0861111111111111,-0.0583333333333333,-0.0722222222222222,-0.108333333333333,-0.0694444444444444
bootstrap_means_data_SRP_0_run_7.csv,0,-0.0694444444444444,-0.0722222222222222,-0.0833333333333333,-0.0638888888888889,-0.0638888888888889,-0.0916666666666667,-0.0805555555555556,-0.0833333333333333,-0.0833333333333333,-0.0861111111111111
bootstrap_means_data_SRP_0_run_8.csv,0,-0.0444444444444444,-0.0722222222222222,-0.0444444444444444,-0.0444444444444444,-0.0833333333333333,-0.0638888888888889,-0.0638888888888889,-0.0638888888888889,-0.0888888888888889,-0.0666666666666667
bootstrap_means_data_SRP_0_run_9.csv,0,-0.0833333333333333,-0.0222222222222222,-0.0666666666666667,-0.0555555555555556,-0.0833333333333333,-0.0583333333333333,-0.0777777777777778,-0.0916666666666667,-0.075,-0.0638888888888889
bootstrap_means_data_SRP_135_run_1.csv,135,131.947222222222,133.35,131.644444444444,133.183333333333,131.788888888889,131.213888888889,131.622222222222,132.977777777778,130.930555555556,131.772222222222
bootstrap_means_data_SRP_135_run_10.csv,135,131.927777777778,131.822222222222,134.194444444444,131.886111111111,132.291666666667,131.608333333333,132.733333333333,132.127777777778,131.908333333333,132.905555555556
bootstrap_means_data_SRP_135_run_11.csv,135,132.216666666667,131.1,131.916666666667,130.913888888889,131.888888888889,132.536111111111,132.433333333333,131.455555555556,131.625,132.463888888889
bootstrap_means_data_SRP_135_run_12.csv,135,132.205555555556,132.402777777778,131.833333333333,131.311111111111,132.680555555556,132.586111111111,131.861111111111,133.75,133.083333333333,133.613888888889
bootstrap_means_data_SRP_135_run_13.csv,135,131.838888888889,132.383333333333,133.572222222222,131.913888888889,132.205555555556,132.552777777778,131.175,132.680555555556,132.25,131.791666666667
bootstrap_means_data_SRP_135_run_14.csv,135,131.769444444444,133.472222222222,131.802777777778,131.575,132.105555555556,132.852777777778,131.611111111111,131.677777777778,132.566666666667,131.744444444444
bootstrap_means_data_SRP_135_run_15.csv,135,132.6,132.966666666667,131.730555555556,133.313888888889,130.766666666667,132.644444444444,131.652777777778,132.841666666667,131.794444444444,131.980555555556
bootstrap_means_data_SRP_135_run_16.csv,135,132.122222222222,130.902777777778,132.502777777778,132.466666666667,131.361111111111,132.8,131.855555555556,132.619444444444,132.75,132.069444444444
bootstrap_means_data_SRP_135_run_17.csv,135,131.333333333333,130.138888888889,132.402777777778,130.694444444444,132.277777777778,133,129.980555555556,133.805555555556,131.833333333333,132.077777777778
bootstrap_means_data_SRP_135_run_18.csv,135,131.758333333333,131.988888888889,133.202777777778,132.327777777778,131.886111111111,131.022222222222,131.816666666667,132.363888888889,132.233333333333,132.027777777778
bootstrap_means_data_SRP_135_run_19.csv,135,129.6,131.938888888889,131.886111111111,132.161111111111,132.463888888889,132.477777777778,131.325,131.752777777778,132.25,131.561111111111
bootstrap_means_data_SRP_135_run_2.csv,135,132.758333333333,131.663888888889,132.002777777778,131.547222222222,131.433333333333,131.083333333333,132.108333333333,131.419444444444,132.561111111111,133.033333333333
bootstrap_means_data_SRP_135_run_20.csv,135,130.641666666667,132.616666666667,132.363888888889,132.513888888889,131.958333333333,132.844444444444,132,132.511111111111,131.311111111111,133.261111111111
bootstrap_means_data_SRP_135_run_21.csv,135,133.3,132.119444444444,131.905555555556,132.291666666667,132.622222222222,132.488888888889,131.036111111111,133.2,131.675,131.533333333333
bootstrap_means_data_SRP_135_run_22.csv,135,132.327777777778,131.888888888889,130.869444444444,132.425,131.536111111111,131.55,131.691666666667,132.608333333333,131.605555555556,131.986111111111
bootstrap_means_data_SRP_135_run_23.csv,135,131.794444444444,132.155555555556,131.191666666667,133.475,131.216666666667,130.419444444444,131.866666666667,131.836111111111,131.425,133.019444444444
bootstrap_means_data_SRP_135_run_24.csv,135,132.136111111111,131.144444444444,133.977777777778,133.111111111111,131.45,132.441666666667,130.369444444444,131.172222222222,130.883333333333,131.597222222222
bootstrap_means_data_SRP_135_run_25.csv,135,132.944444444444,129.508333333333,132.397222222222,131.177777777778,132.063888888889,132.272222222222,132.319444444444,132.7,131.980555555556,131.805555555556
bootstrap_means_data_SRP_135_run_26.csv,135,132.311111111111,131.475,131.472222222222,132.405555555556,133.161111111111,130.947222222222,133.375,132.558333333333,130.225,132.6
bootstrap_means_data_SRP_135_run_27.csv,135,132.269444444444,131.694444444444,133.094444444444,132.630555555556,132.311111111111,131.769444444444,132.272222222222,131.369444444444,132.091666666667,131.994444444444
bootstrap_means_data_SRP_135_run_28.csv,135,131.986111111111,133.288888888889,133.627777777778,132.441666666667,132.480555555556,132.141666666667,131.308333333333,131.558333333333,131.102777777778,131.108333333333
bootstrap_means_data_SRP_135_run_29.csv,135,130.563888888889,133.091666666667,131.838888888889,132.713888888889,132.138888888889,132.533333333333,132.355555555556,132.205555555556,132.433333333333,131.716666666667
bootstrap_means_data_SRP_135_run_3.csv,135,132.444444444444,132.016666666667,131.458333333333,133.6,131.305555555556,131.316666666667,131.569444444444,130.961111111111,131.941666666667,132.5
bootstrap_means_data_SRP_135_run_30.csv,135,132.327777777778,131.225,132.061111111111,132.408333333333,131.988888888889,131.772222222222,132.672222222222,132.027777777778,132.022222222222,132.147222222222
bootstrap_means_data_SRP_135_run_4.csv,135,131.738888888889,134.008333333333,131.269444444444,132.805555555556,132.247222222222,132.030555555556,131.869444444444,133.313888888889,132.944444444444,133.005555555556
bootstrap_means_data_SRP_135_run_5.csv,135,132.697222222222,131.302777777778,131.708333333333,131.797222222222,132.025,131.344444444444,131.902777777778,131.2,131.855555555556,132.811111111111
bootstrap_means_data_SRP_135_run_6.csv,135,131.294444444444,132.752777777778,132.172222222222,132.697222222222,131.333333333333,131.480555555556,132.941666666667,131.802777777778,132.175,133.044444444444
bootstrap_means_data_SRP_135_run_7.csv,135,131.941666666667,131.444444444444,133.452777777778,132.466666666667,132.211111111111,131.725,131.6,133.897222222222,130.558333333333,133.172222222222
