"source_file","level","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20"
"bootstrap_data_o3_vg_120-ppb_conex_D_run_14.csv","120-ppb",120.564655555556,120.721388888889,120.708822222222,120.7024,120.734422222222,120.675788888889,120.6346,120.664177777778,120.692066666667,120.789888888889,120.770711111111,120.684422222222,120.796755555556,120.763933333333,120.7771,120.727611111111,120.691811111111,120.676888888889,120.822055555556,120.650544444444
"bootstrap_data_o3_vg_120-ppb_conex_D_run_15.csv","120-ppb",120.7266,120.745733333333,120.701111111111,120.661733333333,120.659744444444,120.725377777778,120.738422222222,120.671666666667,120.7118,120.712611111111,120.723777777778,120.796088888889,120.654122222222,120.686311111111,120.580822222222,120.636733333333,120.6632,120.641933333333,120.694422222222,120.660977777778
"bootstrap_data_o3_vg_120-ppb_conex_D_run_16.csv","120-ppb",120.727577777778,120.736188888889,120.807122222222,120.659033333333,120.703588888889,120.636488888889,120.783722222222,120.670633333333,120.585788888889,120.705011111111,120.835233333333,120.7682,120.665766666667,120.707422222222,120.714633333333,120.736666666667,120.651433333333,120.703677777778,120.735133333333,120.605377777778
"bootstrap_data_o3_vg_120-ppb_conex_D_run_17.csv","120-ppb",120.799122222222,120.710833333333,120.754455555556,120.638955555556,120.649722222222,120.783822222222,120.653833333333,120.682333333333,120.652033333333,120.6897,120.707944444444,120.740277777778,120.674077777778,120.682411111111,120.698255555556,120.739522222222,120.6164,120.672255555556,120.668911111111,120.654211111111
"bootstrap_data_o3_vg_120-ppb_conex_D_run_18.csv","120-ppb",120.698011111111,120.692144444444,120.690688888889,120.637177777778,120.7822,120.6492,120.715877777778,120.749777777778,120.738855555556,120.656077777778,120.769333333333,120.697455555556,120.724566666667,120.738788888889,120.678788888889,120.735655555556,120.6691,120.646455555556,120.638755555556,120.6798
"bootstrap_data_o3_vg_120-ppb_conex_D_run_19.csv","120-ppb",120.702066666667,120.688522222222,120.688188888889,120.754444444444,120.614433333333,120.719988888889,120.6857,120.771655555556,120.636177777778,120.736833333333,120.7231,120.684122222222,120.724722222222,120.6498,120.7399,120.722533333333,120.710855555556,120.586688888889,120.624188888889,120.731855555556
"bootstrap_data_o3_vg_120-ppb_conex_D_run_2.csv","120-ppb",120.813577777778,120.7163,120.676622222222,120.693133333333,120.788644444444,120.7634,120.701088888889,120.713455555556,120.650022222222,120.715722222222,120.652311111111,120.691911111111,120.676788888889,120.6959,120.648211111111,120.704,120.703266666667,120.749644444444,120.636477777778,120.736
"bootstrap_data_o3_vg_120-ppb_conex_D_run_20.csv","120-ppb",120.6649,120.678133333333,120.722088888889,120.814422222222,120.669622222222,120.686611111111,120.6743,120.671888888889,120.705911111111,120.715944444444,120.694655555556,120.679422222222,120.7242,120.708144444444,120.692177777778,120.714888888889,120.671944444444,120.640888888889,120.737288888889,120.679022222222
"bootstrap_data_o3_vg_120-ppb_conex_D_run_21.csv","120-ppb",120.690077777778,120.708933333333,120.680744444444,120.636766666667,120.661966666667,120.664455555556,120.717144444444,120.684733333333,120.729455555556,120.675211111111,120.7253,120.7349,120.564066666667,120.659633333333,120.741611111111,120.6996,120.752322222222,120.722911111111,120.726777777778,120.7454
"bootstrap_data_o3_vg_120-ppb_conex_D_run_22.csv","120-ppb",120.696588888889,120.737255555556,120.632222222222,120.827277777778,120.6877,120.696411111111,120.732611111111,120.773722222222,120.770866666667,120.669744444444,120.640066666667,120.694111111111,120.737133333333,120.714755555556,120.6912,120.7056,120.735066666667,120.7755,120.654944444444,120.749033333333
"bootstrap_data_o3_vg_120-ppb_conex_D_run_23.csv","120-ppb",120.629566666667,120.701222222222,120.742066666667,120.708122222222,120.655488888889,120.679777777778,120.682977777778,120.682933333333,120.648555555556,120.732366666667,120.739322222222,120.697533333333,120.640811111111,120.720388888889,120.674422222222,120.660944444444,120.673766666667,120.696911111111,120.724255555556,120.670255555556
"bootstrap_data_o3_vg_120-ppb_conex_D_run_24.csv","120-ppb",120.686766666667,120.6488,120.632966666667,120.6902,120.755877777778,120.706677777778,120.638655555556,120.724455555556,120.653155555556,120.6663,120.789666666667,120.742611111111,120.681988888889,120.7823,120.672788888889,120.6897,120.682144444444,120.782144444444,120.6381,120.603733333333
"bootstrap_data_o3_vg_120-ppb_conex_D_run_25.csv","120-ppb",120.6465,120.818166666667,120.768677777778,120.770433333333,120.626422222222,120.709544444444,120.705066666667,120.649655555556,120.750522222222,120.707044444444,120.737122222222,120.647777777778,120.752133333333,120.676855555556,120.725933333333,120.701677777778,120.693711111111,120.688355555556,120.744588888889,120.622888888889
